Source_ID,SS,SSBS
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 V 20
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 V 41
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 W 21
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 W 42
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  1
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  10
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  11
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  12
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  13
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  14
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  15
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  16
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  17
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  18
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  19
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  2
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  20
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  3
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  4
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  5
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  6
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  7
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  8
AD1_2006__McFrederick,AD1_2006__McFrederick 1,AD1_2006__McFrederick 1  9
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  1
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  10
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  11
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  12
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  13
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  14
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  15
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  16
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  17
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  18
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  19
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  2
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  20
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  3
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  4
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  5
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  6
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  7
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  8
AD1_2006__McFrederick,AD1_2006__McFrederick 2,AD1_2006__McFrederick 2  9
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 120 1
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 120 2
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 120 3
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 120 61
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 120 62
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 120 63
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 141 4
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 141 5
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 141 6
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 141 64
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 141 65
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 141 66
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 155 10
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 155 68
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 155 69
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 155 70
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 155 8
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 155 9
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 161 11
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 161 12
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 161 67
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 161 7
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 161 71
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 161 72
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 207 13
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 207 14
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 207 15
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 207 73
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 207 74
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 207 75
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 228 16
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 228 17
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 228 18
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 228 76
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 228 77
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 228 78
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 242 112
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 242 113
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 242 114
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 242 52
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 242 53
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 242 54
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 251 19
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 251 20
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 251 21
AD1_2007__Hatfield,AD1_2007__Hatfield 1,AD1_2007__Hatfield 1 251 79
